Asset,Trend_CAGR,Trend_Sharpe,Trend_MaxDD,BuyHold_CAGR,BuyHold_Sharpe,BuyHold_MaxDD
QQQ,0.072945,0.419218,-0.394074,0.094186,0.349683,-0.829639
IWM,0.032252,0.204149,-0.420807,0.066487,0.277649,-0.594935
