Asset,Strategy_CAGR,Strategy_Sharpe,Benchmark_CAGR,Benchmark_Sharpe
QQQ,0.07302299,0.41969527,0.09426330,0.34999505
IWM,0.03277843,0.20746821,0.06702712,0.27990911
