Transition,Mean,Sharpe,WinRate,CAGR,Count
High→High,0.05986000,0.41696217,0.21389474,0.05076913,2375
High→Normal,0.12604084,1.83855927,0.22340426,0.13166072,94
Low→Low,0.11652351,1.45923005,0.50890448,0.11997929,1853
Low→Normal,-1.07586809,-5.09365085,0.33333333,-0.66731557,135
Normal→High,-0.67464436,-2.81321906,0.20212766,-0.50554933,94
Normal→Low,0.19659147,3.14576774,0.47407407,0.21480008,135
Normal→Normal,0.05127928,0.46534626,0.35989862,0.04623038,3551
