Metric,diff,ci_low,ci_high,p_value
Sharpe_High_minus_Normal,0.10291565,-0.75061993,0.89097256,0.79900000
CAGR_High_minus_Normal,0.01479733,-0.09469851,0.12411095,0.80950000
